Timestamp,IP_Origem,IP_Destino,Protocolo,Tamanho_Bytes,Status,Motivo
2026-04-15 02:02:01,10.0.2.2,10.0.1.2,TCP,74,PERMITIDO,OK
2026-04-15 02:02:01,10.0.1.2,10.0.2.2,TCP,74,PERMITIDO,OK
2026-04-15 02:02:01,10.0.2.2,10.0.1.2,TCP,66,PERMITIDO,OK
2026-04-15 02:02:01,10.0.2.2,10.0.1.2,TCP,205,PERMITIDO,OK
2026-04-15 02:02:01,10.0.1.2,10.0.2.2,TCP,66,PERMITIDO,OK
2026-04-15 02:02:01,10.0.1.2,10.0.2.2,TCP,720,PERMITIDO,OK
2026-04-15 02:02:01,10.0.2.2,10.0.1.2,TCP,66,PERMITIDO,OK
2026-04-15 02:02:01,10.0.2.2,10.0.1.2,TCP,66,PERMITIDO,OK
2026-04-15 02:02:01,10.0.2.2,10.0.1.2,TCP,74,PERMITIDO,OK
2026-04-15 02:02:01,10.0.1.2,10.0.2.2,TCP,66,PERMITIDO,OK
2026-04-15 02:02:01,10.0.1.2,10.0.2.2,TCP,74,PERMITIDO,OK
2026-04-15 02:02:01,10.0.2.2,10.0.1.2,TCP,66,PERMITIDO,OK
2026-04-15 02:02:01,10.0.2.2,10.0.1.2,TCP,66,PERMITIDO,OK
2026-04-15 02:02:01,10.0.2.2,10.0.1.2,TCP,205,PERMITIDO,OK
2026-04-15 02:02:02,10.0.1.2,10.0.2.2,TCP,66,PERMITIDO,OK
2026-04-15 02:02:02,10.0.1.2,10.0.2.2,TCP,720,PERMITIDO,OK
2026-04-15 02:02:02,10.0.2.2,10.0.1.2,TCP,66,PERMITIDO,OK
2026-04-15 02:02:02,10.0.2.2,10.0.1.2,TCP,66,PERMITIDO,OK
2026-04-15 02:02:02,10.0.2.2,10.0.1.2,TCP,74,PERMITIDO,OK
2026-04-15 02:02:02,10.0.1.2,10.0.2.2,TCP,66,PERMITIDO,OK
2026-04-15 02:02:02,10.0.1.2,10.0.2.2,TCP,74,PERMITIDO,OK
2026-04-15 02:02:02,10.0.2.2,10.0.1.2,TCP,66,PERMITIDO,OK
2026-04-15 02:02:02,10.0.2.2,10.0.1.2,TCP,66,PERMITIDO,OK
2026-04-15 02:02:02,10.0.2.2,10.0.1.2,TCP,205,PERMITIDO,OK
2026-04-15 02:02:02,10.0.1.2,10.0.2.2,TCP,66,PERMITIDO,OK
2026-04-15 02:02:02,10.0.1.2,10.0.2.2,TCP,720,PERMITIDO,OK
2026-04-15 02:02:02,10.0.2.2,10.0.1.2,TCP,66,PERMITIDO,OK
